Idx,Prompt,True,Unique_Preds,Has_Conflict,Std,Consensus
59,"Funkcje sklejane trzeciego stopnia (splajny) są funkcjami ciągłymi, ale nie posiadają ciągłych pochodnych.",0,2,True,0.5188745216627709,WEAK
3,"Zbiór Vitaliego jest przykładem zbioru, który jest borelowski, ale nie jest mierzalny w sensie Lebesgue'a.",0,2,True,0.5188745216627708,WEAK
9,"Jeśli zmienne losowe są niezależne, to ich kowariancja wynosi 0.",1,2,True,0.5188745216627708,WEAK
6,Dystrybuanta zmiennej losowej jest funkcją niemalejącą i lewostronnie ciągłą.,0,2,True,0.5188745216627708,WEAK
20,Metoda Newtona-Raphsona dla pierwiastków jednokrotnych charakteryzuje się zbieżnością kwadratową.,1,2,True,0.5188745216627708,WEAK
16,"Jeśli funkcja generująca momenty istnieje w otoczeniu zera, to wyznacza ona rozkład zmiennej losowej jednoznacznie.",1,2,True,0.5188745216627708,WEAK
27,"Rozkład LU macierzy istnieje zawsze, nawet jeśli na głównej przekątnej występują zera (bez konieczności permutacji).",0,2,True,0.5188745216627708,WEAK
22,"Metoda bisekcji gwarantuje znalezienie pierwiastka w zadanym przedziale, o ile funkcja jest ciągła i ma różne znaki na krańcach.",1,2,True,0.5188745216627708,WEAK
14,"MPWL Kołmogorowa (I) zachodzi, jeśli zbieżny jest szereg sumy wariancji dzielonych przez n^2.",1,2,True,0.5188745216627708,WEAK
43,"Z twierdzenia Poissona wynika, że rozkład dwumianowy zbiega do normalnego, gdy prawdopodobieństwo sukcesu dąży do zera.",0,2,True,0.5188745216627708,WEAK
32,"Algorytm numerycznie stabilny to taki, który nie dopuszcza do nadmiernej kumulacji błędów.",1,2,True,0.5188745216627708,WEAK
13,Zbieżność według prawdopodobieństwa implikuje zbieżność z prawdopodobieństwem 1.,0,2,True,0.5188745216627708,WEAK
53,"Metoda Eulera jest uznawana za metodę wysokiego rzędu dokładności, idealną do precyzyjnych symulacji.",0,2,True,0.5188745216627708,WEAK
45,"Centralne Twierdzenie Graniczne zakłada, że sumowane zmienne losowe mogą mieć nieskończoną wariancję.",0,2,True,0.5188745216627708,WEAK
52,Metoda Newtona jest zazwyczaj szybsza w bliskim sąsiedztwie pierwiastka niż metoda bisekcji.,1,2,True,0.5188745216627708,WEAK
46,"Wzór Bayesa pozwala na odwrócenie warunkowania, czyli obliczenie P(A|B) znając P(B|A).",1,2,True,0.5188745216627708,WEAK
38,"Metoda Gaussa-Seidela wymaga, aby macierz układu była np. silnie diagonalnie dominująca dla zagwarantowania zbieżności.",1,2,True,0.5188745216627708,WEAK
